p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106
-38.37738534834971,317.10242434666355,195.59964562777213,150.75293233107394,290.40674995759514,-159.8778806056845,-4.241924630127764,290.40674995759514,-314.20173927472393,-268.55672813179865,-34.080827713854696,-104.49522183232344,172.57737509892735,-314.20173927472393,-252.509397323655,290.40674995759514,-118.15459861503138,-104.49522183232344,290.40674995759514,150.75293233107394,-314.20173927472393,-104.49522183232344,290.40674995759514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.02940537046454,-252.509397323655,317.10242434666355,-314.20173927472393,150.75293233107394,-314.20173927472393,88.02940537046454,-314.20173927472393,-268.55672813179865,-38.37738534834971,-104.49522183232344,-104.49522183232344,150.75293233107394,150.75293233107394,-0.0284834840883282,290.40674995759514,290.40674995759514,290.40674995759514,-268.55672813179865,172.57737509892735,-104.49522183232344,-10.207710414823858,-34.080827713854696,-10.207710414823858,195.59964562777213,195.59964562777213,-10.207710414823858,317.10242434666355,195.59964562777213,-104.49522183232344,290.40674995759514,195.59964562777213,150.75293233107394,317.10242434666355,-38.37738534834971,195.59964562777213,150.75293233107394,195.59964562777213,21.944600855658877,-91.11725165277262,150.75293233107394,-38.37738534834971,-34.080827713854696,172.57737509892735,-104.49522183232344,195.59964562777213,-268.55672813179865,-252.509397323655,21.944600855658877,172.57737509892735,-252.509397323655,-4.241924630127764,-10.207710414823858,-91.11725165277262,21.944600855658877,-314.20173927472393,-118.15459861503138,-252.509397323655,290.40674995759514,-314.20173927472393,-314.20173927472393,172.57737509892735,-252.509397323655,290.40674995759514,195.59964562777213,-10.207710414823858,-10.207710414823858,-10.207710414823858,-10.207710414823858,-34.080827713854696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.40674995759514,-252.509397323655,-10.207710414823858,-10.207710414823858,-104.49522183232344,-38.37738534834971,-104.49522183232344,-91.11725165277262,-10.207710414823858,-4.241924630127764,-38.37738534834971,195.59964562777213,-0.0284834840883282,195.59964562777213,-4.241924630127764,-118.15459861503138,150.75293233107394,159.436015439078,-118.15459861503138,-38.37738534834971,-268.55672813179865,290.40674995759514,195.59964562777213,-104.49522183232344,-0.0284834840883282,-34.080827713854696,-104.49522183232344,195.59964562777213,-34.080827713854696,-34.080827713854696,150.75293233107394,-38.37738534834971,-104.49522183232344,-118.15459861503138,150.75293233107394,-38.37738534834971,-159.8778806056845,-104.49522183232344,317.10242434666355,-118.15459861503138,290.40674995759514,317.10242434666355,172.57737509892735,172.57737509892735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0284834840883282,-38.37738534834971,159.436015439078,-159.8778806056845,172.57737509892735,21.944600855658877,317.10242434666355,-38.37738534834971,-38.37738534834971,-91.11725165277262,-38.37738534834971,172.57737509892735,317.10242434666355,-38.37738534834971,-38.37738534834971,-91.11725165277262,-314.20173927472393,195.59964562777213,-104.49522183232344,-104.49522183232344,290.40674995759514,195.59964562777213,-4.241924630127764,-104.49522183232344,290.40674995759514,290.40674995759514,-34.080827713854696,290.40674995759514,-104.49522183232344,-104.49522183232344,-91.11725165277262,88.02940537046454,-104.49522183232344,-34.080827713854696,317.10242434666355,195.59964562777213,-104.49522183232344,317.10242434666355,-91.11725165277262,290.40674995759514,-118.15459861503138,290.40674995759514,290.40674995759514,-104.49522183232344,-91.11725165277262,290.40674995759514,-38.37738534834971,150.75293233107394,-10.207710414823858,-314.20173927472393,195.59964562777213,-4.241924630127764,-38.37738534834971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.59964562777213,-252.509397323655,-10.207710414823858,-10.207710414823858,-104.49522183232344,-252.509397323655,-38.37738534834971,-104.49522183232344,150.75293233107394,-159.8778806056845,-4.241924630127764,-252.509397323655,195.59964562777213,195.59964562777213,-314.20173927472393,-91.11725165277262,-118.15459861503138,-104.49522183232344,195.59964562777213,150.75293233107394,172.57737509892735,-91.11725165277262,195.59964562777213,-38.37738534834971,150.75293233107394,-34.080827713854696,317.10242434666355,-104.49522183232344,-252.509397323655,-91.11725165277262,-4.241924630127764,172.57737509892735,195.59964562777213,-268.55672813179865,-314.20173927472393,-91.11725165277262,317.10242434666355,-34.080827713854696,195.59964562777213,-268.55672813179865,159.436015439078,-91.11725165277262,195.59964562777213,-34.080827713854696,-91.11725165277262,-91.11725165277262,-104.49522183232344,-118.15459861503138,290.40674995759514,-252.509397323655,-104.49522183232344,290.40674995759514,88.02940537046454,-104.49522183232344,195.59964562777213,-252.509397323655,88.02940537046454,-159.8778806056845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.944600855658877,-38.37738534834971,88.02940537046454,-91.11725165277262,195.59964562777213,-38.37738534834971,-104.49522183232344,-34.080827713854696,290.40674995759514,195.59964562777213,-118.15459861503138,21.944600855658877,-252.509397323655,-104.49522183232344,290.40674995759514,-0.0284834840883282,-91.11725165277262,-268.55672813179865,290.40674995759514,-10.207710414823858,195.59964562777213,195.59964562777213,195.59964562777213,-10.207710414823858,-104.49522183232344,-4.241924630127764,-91.11725165277262,317.10242434666355,-118.15459861503138,-0.0284834840883282,195.59964562777213,-34.080827713854696,-314.20173927472393,-4.241924630127764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.944600855658877,-91.11725165277262,290.40674995759514,195.59964562777213,-34.080827713854696,195.59964562777213,290.40674995759514,21.944600855658877,-34.080827713854696,195.59964562777213,195.59964562777213,88.02940537046454,317.10242434666355,-38.37738534834971,317.10242434666355,-10.207710414823858,-252.509397323655,-91.11725165277262,290.40674995759514,290.40674995759514,195.59964562777213,-91.11725165277262,-252.509397323655,-252.509397323655,-10.207710414823858,-0.0284834840883282,-34.080827713854696,-38.37738534834971,-118.15459861503138,-10.207710414823858,195.59964562777213,-268.55672813179865,-268.55672813179865,-10.207710414823858,-104.49522183232344,172.57737509892735,-10.207710414823858,317.10242434666355,-118.15459861503138,-0.0284834840883282,172.57737509892735,317.10242434666355,150.75293233107394,290.40674995759514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.40674995759514,317.10242434666355,290.40674995759514,-104.49522183232344,-91.11725165277262,150.75293233107394,290.40674995759514,195.59964562777213,88.02940537046454,-104.49522183232344,172.57737509892735,317.10242434666355,-34.080827713854696,150.75293233107394,195.59964562777213,195.59964562777213,-10.207710414823858,-10.207710414823858,195.59964562777213,-268.55672813179865,-34.080827713854696,21.944600855658877,-268.55672813179865,88.02940537046454,-34.080827713854696,-104.49522183232344,-0.0284834840883282,-104.49522183232344,-314.20173927472393,290.40674995759514,-34.080827713854696,-38.37738534834971,195.59964562777213,-34.080827713854696,-34.080827713854696,317.10242434666355,-118.15459861503138,-34.080827713854696,290.40674995759514,172.57737509892735,21.944600855658877,-118.15459861503138,172.57737509892735,-252.509397323655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-314.20173927472393,159.436015439078,-4.241924630127764,-38.37738534834971,-34.080827713854696,-38.37738534834971,-314.20173927472393,-38.37738534834971,-252.509397323655,290.40674995759514,290.40674995759514,159.436015439078,150.75293233107394,-34.080827713854696,-91.11725165277262,-4.241924630127764,88.02940537046454,-38.37738534834971,-268.55672813179865,150.75293233107394,-104.49522183232344,-314.20173927472393,-4.241924630127764,290.40674995759514,-91.11725165277262,-4.241924630127764,-314.20173927472393,317.10242434666355,-252.509397323655,-91.11725165277262,150.75293233107394,-104.49522183232344,-104.49522183232344,317.10242434666355,150.75293233107394,317.10242434666355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.436015439078,-34.080827713854696,159.436015439078,-34.080827713854696,-252.509397323655,-104.49522183232344,-4.241924630127764,-314.20173927472393,290.40674995759514,-4.241924630127764,195.59964562777213,-10.207710414823858,290.40674995759514,290.40674995759514,-104.49522183232344,-268.55672813179865,150.75293233107394,-4.241924630127764,-252.509397323655,-34.080827713854696,-104.49522183232344,-4.241924630127764,-314.20173927472393,290.40674995759514,290.40674995759514,-104.49522183232344,-104.49522183232344,88.02940537046454,-34.080827713854696,-4.241924630127764,-104.49522183232344,-91.11725165277262,-91.11725165277262,-104.49522183232344,-34.080827713854696,-252.509397323655,-34.080827713854696,317.10242434666355,150.75293233107394,290.40674995759514,-104.49522183232344,-91.11725165277262,-314.20173927472393,-4.241924630127764,-91.11725165277262,-104.49522183232344,88.02940537046454,150.75293233107394,-0.0284834840883282,-34.080827713854696,150.75293233107394,-4.241924630127764,-252.509397323655,150.75293233107394,290.40674995759514,159.436015439078,-0.0284834840883282,-10.207710414823858,-314.20173927472393,-104.49522183232344,-4.241924630127764,-104.49522183232344,159.436015439078,290.40674995759514,150.75293233107394,290.40674995759514,195.59964562777213,-0.0284834840883282,290.40674995759514,-4.241924630127764,-38.37738534834971,172.57737509892735,290.40674995759514,-104.49522183232344,-91.11725165277262,-4.241924630127764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-104.49522183232344,-0.0284834840883282,-252.509397323655,159.436015439078,317.10242434666355,-38.37738534834971,-252.509397323655,-268.55672813179865,-91.11725165277262,-91.11725165277262,-38.37738534834971,159.436015439078,-91.11725165277262,-104.49522183232344,-38.37738534834971,-38.37738534834971,21.944600855658877,290.40674995759514,-118.15459861503138,-104.49522183232344,290.40674995759514,290.40674995759514,-91.11725165277262,-104.49522183232344,290.40674995759514,317.10242434666355,-104.49522183232344,-104.49522183232344,-91.11725165277262,-104.49522183232344,-314.20173927472393,290.40674995759514,290.40674995759514,-91.11725165277262,-104.49522183232344,290.40674995759514,290.40674995759514,-104.49522183232344,-104.49522183232344,290.40674995759514,-91.11725165277262,-268.55672813179865,-252.509397323655,150.75293233107394,-104.49522183232344,-268.55672813179865,-104.49522183232344,-91.11725165277262,-34.080827713854696,159.436015439078,-159.8778806056845,-104.49522183232344,317.10242434666355,150.75293233107394,-38.37738534834971,150.75293233107394,88.02940537046454,-34.080827713854696,317.10242434666355,150.75293233107394,-91.11725165277262,-34.080827713854696,-104.49522183232344,317.10242434666355,-314.20173927472393,-118.15459861503138,-38.37738534834971,-104.49522183232344,-314.20173927472393,-104.49522183232344,-314.20173927472393,-104.49522183232344,-10.207710414823858,-38.37738534834971,-314.20173927472393,290.40674995759514,-252.509397323655,-314.20173927472393,-314.20173927472393,-314.20173927472393,-104.49522183232344,-314.20173927472393,-104.49522183232344,-314.20173927472393,-104.49522183232344,-314.20173927472393,-104.49522183232344,-10.207710414823858,-38.37738534834971,-314.20173927472393,290.40674995759514,-252.509397323655,-314.20173927472393,-314.20173927472393,-314.20173927472393,-104.49522183232344,-314.20173927472393,-104.49522183232344,-314.20173927472393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-91.11725165277262,-314.20173927472393,-4.241924630127764,159.436015439078,-0.0284834840883282,-104.49522183232344,21.944600855658877,-91.11725165277262,290.40674995759514,150.75293233107394,-104.49522183232344,-104.49522183232344,-91.11725165277262,-104.49522183232344,290.40674995759514,150.75293233107394,-104.49522183232344,-104.49522183232344,317.10242434666355,-118.15459861503138,-104.49522183232344,290.40674995759514,290.40674995759514,150.75293233107394,-104.49522183232344,150.75293233107394,-91.11725165277262,150.75293233107394,-104.49522183232344,290.40674995759514,290.40674995759514,-91.11725165277262,-10.207710414823858,-4.241924630127764,88.02940537046454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-104.49522183232344,195.59964562777213,-38.37738534834971,-104.49522183232344,150.75293233107394,88.02940537046454,195.59964562777213,-252.509397323655,-34.080827713854696,-314.20173927472393,-159.8778806056845,-0.0284834840883282,-4.241924630127764,-159.8778806056845,-91.11725165277262,-38.37738534834971,-252.509397323655,-118.15459861503138,290.40674995759514,88.02940537046454,-91.11725165277262,290.40674995759514,-252.509397323655,-4.241924630127764,-4.241924630127764,-314.20173927472393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-314.20173927472393,-252.509397323655,317.10242434666355,150.75293233107394,-91.11725165277262,290.40674995759514,-314.20173927472393,150.75293233107394,290.40674995759514,150.75293233107394,-314.20173927472393,21.944600855658877,-0.0284834840883282,-91.11725165277262,-91.11725165277262,317.10242434666355,-252.509397323655,290.40674995759514,-314.20173927472393,150.75293233107394,-91.11725165277262,-10.207710414823858,-314.20173927472393,159.436015439078,150.75293233107394,290.40674995759514,-104.49522183232344,-4.241924630127764,88.02940537046454,195.59964562777213,-10.207710414823858,-314.20173927472393,290.40674995759514,195.59964562777213,-159.8778806056845,-159.8778806056845,-4.241924630127764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.241924630127764,-252.509397323655,88.02940537046454,-252.509397323655,-91.11725165277262,317.10242434666355,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,150.75293233107394,-4.241924630127764,-252.509397323655,-91.11725165277262,-252.509397323655,-314.20173927472393,-0.0284834840883282,-4.241924630127764,-34.080827713854696,-4.241924630127764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-252.509397323655,317.10242434666355,88.02940537046454,195.59964562777213,-91.11725165277262,-314.20173927472393,-91.11725165277262,-159.8778806056845,-91.11725165277262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0284834840883282,88.02940537046454,172.57737509892735,-104.49522183232344,-314.20173927472393,-34.080827713854696,150.75293233107394,-34.080827713854696,-268.55672813179865,-104.49522183232344,-252.509397323655,195.59964562777213,-0.0284834840883282,-104.49522183232344,195.59964562777213,-314.20173927472393,172.57737509892735,317.10242434666355,-314.20173927472393,-91.11725165277262,159.436015439078,-34.080827713854696,159.436015439078,-10.207710414823858,195.59964562777213,-268.55672813179865,172.57737509892735,150.75293233107394,-10.207710414823858,159.436015439078,195.59964562777213,-38.37738534834971,-104.49522183232344,21.944600855658877,-252.509397323655,-104.49522183232344,159.436015439078,290.40674995759514,-10.207710414823858,-104.49522183232344,-104.49522183232344,-91.11725165277262,-38.37738534834971,-34.080827713854696,172.57737509892735,317.10242434666355,-104.49522183232344,-268.55672813179865,317.10242434666355,-314.20173927472393,172.57737509892735,-268.55672813179865,-159.8778806056845,290.40674995759514,-104.49522183232344,88.02940537046454,-0.0284834840883282,88.02940537046454,-104.49522183232344,195.59964562777213,-0.0284834840883282,-10.207710414823858,195.59964562777213,-38.37738534834971,-104.49522183232344,88.02940537046454,-34.080827713854696,195.59964562777213,-104.49522183232344,-268.55672813179865,-314.20173927472393,-0.0284834840883282,150.75293233107394,-268.55672813179865,172.57737509892735,-104.49522183232344,317.10242434666355,-104.49522183232344,-104.49522183232344,172.57737509892735,-91.11725165277262,-314.20173927472393,317.10242434666355,-10.207710414823858,88.02940537046454,-104.49522183232344,-34.080827713854696,-38.37738534834971,-104.49522183232344,-104.49522183232344,88.02940537046454,172.57737509892735,88.02940537046454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.02940537046454,150.75293233107394,317.10242434666355,-10.207710414823858,-38.37738534834971,317.10242434666355,317.10242434666355,172.57737509892735,317.10242434666355,-10.207710414823858,-268.55672813179865,-314.20173927472393,195.59964562777213,317.10242434666355,88.02940537046454,317.10242434666355,-314.20173927472393,88.02940537046454,317.10242434666355,-104.49522183232344,-159.8778806056845,-104.49522183232344,317.10242434666355,88.02940537046454,-38.37738534834971,317.10242434666355,195.59964562777213,-34.080827713854696,-268.55672813179865,-118.15459861503138,317.10242434666355,-10.207710414823858,317.10242434666355,-91.11725165277262,317.10242434666355,-38.37738534834971,317.10242434666355,-104.49522183232344,-159.8778806056845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.944600855658877,172.57737509892735,-252.509397323655,-104.49522183232344,-38.37738534834971,290.40674995759514,159.436015439078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.75293233107394,-104.49522183232344,-34.080827713854696,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-104.49522183232344,-314.20173927472393,-4.241924630127764,-104.49522183232344,-104.49522183232344,-268.55672813179865,-104.49522183232344,-104.49522183232344,-104.49522183232344,-4.241924630127764,-104.49522183232344,-104.49522183232344,-4.241924630127764,-314.20173927472393,-38.37738534834971,-104.49522183232344,-4.241924630127764,-314.20173927472393,-104.49522183232344,-104.49522183232344,-38.37738534834971,-104.49522183232344,-104.49522183232344,-314.20173927472393,-104.49522183232344,-104.49522183232344,-314.20173927472393,-104.49522183232344,-314.20173927472393,-159.8778806056845,-34.080827713854696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-104.49522183232344,159.436015439078,150.75293233107394,-38.37738534834971,-118.15459861503138,150.75293233107394,159.436015439078,150.75293233107394,-104.49522183232344,195.59964562777213,-252.509397323655,150.75293233107394,290.40674995759514,-252.509397323655,-38.37738534834971,-104.49522183232344,290.40674995759514,-104.49522183232344,150.75293233107394,-34.080827713854696,-104.49522183232344,-104.49522183232344,290.40674995759514,88.02940537046454,-104.49522183232344,290.40674995759514,-104.49522183232344,-91.11725165277262,-4.241924630127764,-104.49522183232344,317.10242434666355,150.75293233107394,-4.241924630127764,290.40674995759514,-104.49522183232344,290.40674995759514,88.02940537046454,290.40674995759514,150.75293233107394,-104.49522183232344,-314.20173927472393,-314.20173927472393,290.40674995759514,290.40674995759514,150.75293233107394,290.40674995759514,290.40674995759514,-91.11725165277262,-10.207710414823858,159.436015439078,290.40674995759514,290.40674995759514,-104.49522183232344,-38.37738534834971,-314.20173927472393,-38.37738534834971,-314.20173927472393,290.40674995759514,195.59964562777213,-268.55672813179865,195.59964562777213,317.10242434666355,-0.0284834840883282,-104.49522183232344,-91.11725165277262,317.10242434666355,317.10242434666355,-0.0284834840883282,290.40674995759514,-118.15459861503138,-38.37738534834971,-10.207710414823858,290.40674995759514,-0.0284834840883282,-104.49522183232344,172.57737509892735,21.944600855658877,-4.241924630127764,-38.37738534834971,-118.15459861503138,-314.20173927472393,317.10242434666355,-38.37738534834971,-38.37738534834971,-91.11725165277262,-314.20173927472393,159.436015439078,150.75293233107394,-4.241924630127764,-91.11725165277262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
